"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14043759","JJ507493","2025-11-29T23:00:00.000","017XX W 74TH ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0735","007","17","67","06","1166211","1855629","2025","2025-12-07T15:47:28.000","41.759420336","-87.666406134","
,  
(41.759420336, -87.666406134)"
"14042881","JJ506355","2025-11-29T23:00:00.000","009XX N LEAVITT ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true","1212","012","36","24","08A","1161563","1906394","2025","2025-12-07T15:47:28.000","41.898822852","-87.682030469","
,  
(41.898822852, -87.682030469)"
"14042920","JJ506364","2025-11-29T22:40:00.000","014XX W 114TH PL","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","2234","022","21","75","08B","1168725","1828813","2025","2025-12-07T15:47:28.000","41.685779354","-87.657963408","
,  
(41.685779354, -87.657963408)"
"14042880","JJ506340","2025-11-29T22:40:00.000","051XX W MELROSE ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","false","false","1634","016","31","15","15","1141622","1921124","2025","2025-12-07T15:47:28.000","41.939635605","-87.754908638","
,  
(41.939635605, -87.754908638)"
"14042897","JJ506389","2025-11-29T22:39:00.000","018XX S HAMLIN AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","1014","010","24","29","08A","1151342","1890864","2025","2025-12-07T15:47:28.000","41.856413624","-87.719979555","
,  
(41.856413624, -87.719979555)"
"14042989","JJ506487","2025-11-29T22:30:00.000","039XX W 76TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0833","008","18","70","14","1151310","1853894","2025","2025-12-07T15:47:28.000","41.754963238","-87.721063702","
,  
(41.754963238, -87.721063702)"
"14042942","JJ506333","2025-11-29T22:19:00.000","020XX N MILWAUKEE AVE","0860","THEFT","RETAIL THEFT","DRUG STORE","false","false","1431","014","1","22","06","1159682","1913243","2025","2025-12-07T15:47:28.000","41.917656022","-87.688750258","
,  
(41.917656022, -87.688750258)"
"14042882","JJ506368","2025-11-29T22:13:00.000","0000X W ILLINOIS ST","0460","BATTERY","SIMPLE","HOTEL / MOTEL","true","false","1831","018","42","8","08B","1175688","1903592","2025","2025-12-07T15:47:28.000","41.890828047","-87.630234746","
,  
(41.890828047, -87.630234746)"
"14042855","JJ506338","2025-11-29T22:06:00.000","113XX S EDBROOKE AVE","2027","NARCOTICS","POSSESS - CRACK","VEHICLE NON-COMMERCIAL","false","false","0531","005","9","49","18","1179223","1829787","2025","2025-12-07T15:47:28.000","41.688219883","-87.619503084","
,  
(41.688219883, -87.619503084)"
"14042884","JJ506372","2025-11-29T22:00:00.000","0000X W JACKSON BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","COMMERCIAL / BUSINESS OFFICE","false","true","0113","001","4","32","08B","1175754","1898974","2025","2025-12-07T15:47:28.000","41.87815451","-87.630131336","
,  
(41.87815451, -87.630131336)"
"14042993","JJ506506","2025-11-29T22:00:00.000","036XX S PRAIRIE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0212","002","3","35","14","1178529","1880907","2025","2025-12-07T15:47:28.000","41.828514632","-87.62049301","
,  
(41.828514632, -87.62049301)"
"14043344","JJ506967","2025-11-29T22:00:00.000","009XX N KARLOV AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1111","011","37","23","07","1148881","1905943","2025","2025-12-07T15:47:28.000","41.897840008","-87.728622834","
,  
(41.897840008, -87.728622834)"
"14043192","JJ506687","2025-11-29T22:00:00.000","083XX S CONSTANCE AVE","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false","0412","004","8","45","06","1189979","1850048","2025","2025-12-07T15:47:28.000","41.743566904","-87.579477236","
,  
(41.743566904, -87.579477236)"
"14042891","JJ506382","2025-11-29T22:00:00.000","067XX S GREEN ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0723","007","16","68","14","1171798","1860189","2025","2025-12-07T15:47:28.000","41.771812851","-87.645796361","
,  
(41.771812851, -87.645796361)"
"14043056","JJ506552","2025-11-29T22:00:00.000","067XX S RACINE AVE","0820","THEFT","$500 AND UNDER","APARTMENT","true","true","0724","007","17","67","06","1169480","1860134","2025","2025-12-07T15:47:28.000","41.77171246","-87.654294989","
,  
(41.77171246, -87.654294989)"
"14043013","JJ506528","2025-11-29T22:00:00.000","007XX E 61ST ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0313","003","20","42","14","1182117","1864723","2025","2025-12-07T15:47:28.000","41.78402198","-87.607830306","
,  
(41.78402198, -87.607830306)"
"14042935","JJ506351","2025-11-29T21:50:00.000","096XX S AVENUE L","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0432","004","10","52","08B","1201785","1841868","2025","2025-12-07T15:47:28.000","41.720828448","-87.536497718","
,  
(41.720828448, -87.536497718)"
"14043310","JJ506985","2025-11-29T21:47:00.000","061XX S MASON AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0812","008","13","64","08B","1137792","1863189","2025","2025-12-07T15:47:28.000","41.780723773","-87.770381388","
,  
(41.780723773, -87.770381388)"
"14042886","JJ506342","2025-11-29T21:44:00.000","016XX N KEYSTONE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","2534","025","26","23","08B","1149132","1910643","2025","2025-12-07T15:47:28.000","41.910732422","-87.727579028","
,  
(41.910732422, -87.727579028)"
"14042923","JJ506357","2025-11-29T21:43:00.000","054XX W VAN BUREN ST","0560","ASSAULT","SIMPLE","APARTMENT","true","true","1522","015","29","25","08A","1140322","1897482","2025","2025-12-07T15:47:28.000","41.874783206","-87.760267096","
,  
(41.874783206, -87.760267096)"
"14042907","JJ506330","2025-11-29T21:42:00.000","071XX S JEFFERY BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","0333","003","5","43","08B","1190784","1857875","2025","2025-12-07T15:47:28.000","41.765025476","-87.576275351","
,  
(41.765025476, -87.576275351)"
"14042864","JJ506331","2025-11-29T21:37:00.000","060XX N KENMORE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2433","024","48","77","08B","1168152","1940159","2025","2025-12-07T15:47:28.000","41.991335662","-87.656850699","
,  
(41.991335662, -87.656850699)"
"14043034","JJ506565","2025-11-29T21:30:00.000","005XX N PAULINA ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1215","012","1","24","07","1164971","1903691","2025","2025-12-07T15:47:28.000","41.891333942","-87.669589873","
,  
(41.891333942, -87.669589873)"
"14042998","JJ506483","2025-11-29T21:30:00.000","045XX S DRAKE AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0821","008","12","58","06","1153502","1874285","2025","2025-12-07T15:47:28.000","41.810876135","-87.712490987","
,  
(41.810876135, -87.712490987)"
"14042844","JJ506321","2025-11-29T21:30:00.000","042XX N BROADWAY","0460","BATTERY","SIMPLE","SMALL RETAIL STORE","false","false","1915","019","46","3","08B","1169214","1928331","2025","2025-12-07T15:47:28.000","41.95885623","-87.653289775","
,  
(41.95885623, -87.653289775)"
"14043542","JJ506353","2025-11-29T21:20:00.000","001XX E GRAND AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","1834","018","42","8","06","1177527","1903942","2025","2025-12-07T15:47:28.000","41.891746915","-87.623470475","
,  
(41.891746915, -87.623470475)"
"14043361","JJ507103","2025-11-29T21:15:00.000","015XX N SHEFFIELD AVE","0810","THEFT","OVER $500","STREET","false","false","1822","018","27","8","06","1169405","1910555","2025","2025-12-07T15:47:28.000","41.91007391","-87.653106106","
,  
(41.91007391, -87.653106106)"
"14042818","JJ506314","2025-11-29T21:07:00.000","085XX S WALLACE ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0622","006","21","71","14","1173796","1848175","2025","2025-12-07T15:47:28.000","41.738800887","-87.638827873","
,  
(41.738800887, -87.638827873)"
"14042863","JJ506316","2025-11-29T21:06:00.000","011XX W LAWRENCE AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR / SERVICES","CTA TRAIN","true","false","2033","020","46","3","11","1167806","1932032","2025","2025-12-07T15:47:28.000","41.969042448","-87.658358932","
,  
(41.969042448, -87.658358932)"
"14042838","JJ506304","2025-11-29T21:04:00.000","020XX N MILWAUKEE AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false","1431","014","1","22","06","1159682","1913243","2025","2025-12-07T15:47:28.000","41.917656022","-87.688750258","
,  
(41.917656022, -87.688750258)"
"14044682","JJ508671","2025-11-29T21:00:00.000","068XX S PERRY AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0722","007","6","69","14","1176576","1859716","2025","2025-12-07T15:47:28.000","41.770408737","-87.628296046","
,  
(41.770408737, -87.628296046)"
"14042837","JJ506313","2025-11-29T21:00:00.000","050XX S KEDZIE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","OTHER (SPECIFY)","false","false","0821","008","14","63","14","1155896","1871020","2025","2025-12-07T15:47:28.000","41.801868739","-87.703797654","
,  
(41.801868739, -87.703797654)"
